chave,Data e horario completo,t_0,s1,s2,s3,s4,s5,s6,experimento
4865,2015-09-10 16:12:19.681555,1441912339.676433,206.3913,65.1593,124.66909999999999,56.412000000000006,108.81039999999999,58.6608,
4866,2015-09-10 16:12:30.577070,1441912350.570925,207.5688,65.1593,123.3055,55.604000000000006,108.81039999999999,58.6608,
4867,2015-09-10 16:12:40.578492,1441912360.573715,207.17630000000003,65.1593,123.64639999999999,55.40200000000001,108.43819999999998,58.6608,
4868,2015-09-10 16:12:51.542523,1441912371.537675,207.9613,64.11829999999999,120.5783,55.806000000000004,108.06599999999999,60.0255,
4869,2015-09-10 16:13:01.885066,1441912381.880162,207.17630000000003,63.7713,120.5783,56.412000000000006,108.06599999999999,59.570600000000006,
4870,2015-09-10 16:13:12.543740,1441912392.538748,207.17630000000003,59.607299999999995,121.601,57.220000000000006,106.57719999999999,60.0255,
4871,2015-09-10 16:13:22.566923,1441912402.561537,206.78379999999999,59.607299999999995,120.5783,57.220000000000006,106.57719999999999,60.48040000000001,
4872,2015-09-10 16:13:33.397051,1441912413.394042,205.60630000000003,62.38329999999999,116.4875,55.604000000000006,106.20499999999998,59.11570000000001,
4873,2015-09-10 16:13:43.789126,1441912423.786725,205.99880000000002,63.7713,117.5102,54.79600000000001,105.46059999999999,59.11570000000001,
4874,2015-09-10 16:13:54.354570,1441912434.352033,205.99880000000002,62.7303,117.5102,54.998000000000005,105.0884,58.6608,
4875,2015-09-10 16:14:04.746258,1441912444.743886,203.25130000000001,62.0363,116.82839999999999,54.59400000000001,105.0884,58.20590000000001,
4876,2015-09-10 16:14:15.298974,1441912455.296391,203.6438,62.0363,116.4875,54.59400000000001,104.344,57.75100000000001,
4877,2015-09-10 16:14:25.325293,1441912465.322709,200.11130000000003,59.607299999999995,114.78299999999999,54.59400000000001,104.344,57.2961,
4878,2015-09-10 16:14:36.174669,1441912476.171824,197.36380000000003,60.6483,114.4421,54.79600000000001,103.97179999999999,56.84120000000001,
4879,2015-09-10 16:14:46.133850,1441912486.130461,196.18630000000002,60.6483,113.76029999999999,54.392,103.59959999999998,56.84120000000001,
4880,2015-09-10 16:14:57.070209,1441912497.067503,193.43880000000001,59.260299999999994,114.10119999999999,53.584,103.22739999999999,57.2961,
4881,2015-09-10 16:15:18.009463,1441912518.006987,187.9438,59.607299999999995,111.71489999999999,53.584,102.48299999999999,57.2961,
4882,2015-09-10 16:15:28.405582,1441912528.40065,186.37380000000002,59.260299999999994,110.69219999999999,53.584,102.11079999999998,57.2961,
4883,2015-09-10 16:15:39.002509,1441912538.999909,185.1963,59.607299999999995,110.01039999999999,53.786,101.36639999999998,56.84120000000001,
4884,2015-09-10 16:15:49.401838,1441912549.399242,182.05630000000002,58.9133,109.3286,53.584,100.62199999999999,56.38630000000001,
4885,2015-09-10 16:15:59.897320,1441912559.89449,178.91630000000004,57.1783,109.6695,52.574000000000005,100.2498,55.931400000000004,
4886,2015-09-10 16:16:10.286965,1441912570.284332,176.56130000000002,57.1783,109.3286,52.17,100.2498,55.47650000000001,
4887,2015-09-10 16:16:20.962704,1441912580.959828,174.99130000000002,57.525299999999994,108.3059,52.17,99.5054,55.47650000000001,
4888,2015-09-10 16:16:31.353134,1441912591.350384,174.99130000000002,58.2193,106.94229999999999,52.574000000000005,98.76099999999998,55.0216,
4889,2015-09-10 16:16:41.936360,1441912601.9335,171.4588,56.137299999999996,105.91959999999999,52.574000000000005,98.76099999999998,55.931400000000004,
4890,2015-09-10 16:16:52.328352,1441912612.325463,170.67380000000003,56.137299999999996,104.89689999999999,52.37200000000001,98.01659999999998,55.931400000000004,
4891,2015-09-10 16:17:02.954107,1441912622.950817,168.7113,55.790299999999995,105.2378,51.766000000000005,97.64439999999999,55.47650000000001,
4892,2015-09-10 16:17:23.887272,1441912643.884288,165.17880000000002,55.443299999999994,103.5333,51.56400000000001,96.52779999999998,54.566700000000004,
4893,2015-09-10 16:17:34.275990,1441912654.273177,163.2163,54.7493,102.85149999999999,51.56400000000001,96.15559999999999,54.566700000000004,
4894,2015-09-10 16:17:44.860562,1441912664.856762,162.43130000000002,55.443299999999994,101.82879999999999,51.766000000000005,95.4112,54.11180000000001,
4895,2015-09-10 16:17:55.254533,1441912675.251606,160.0763,56.137299999999996,100.4652,51.968,95.03899999999999,54.11180000000001,
4896,2015-09-10 16:18:05.765525,1441912685.762403,159.29129999999998,55.443299999999994,100.80609999999999,51.362,94.6668,53.65690000000001,
4897,2015-09-10 16:18:26.672753,1441912706.669943,154.97379999999998,54.055299999999995,100.80609999999999,50.554,93.92239999999998,54.11180000000001,
4898,2015-09-10 16:18:37.066343,1441912717.063537,153.4038,53.708299999999994,100.12429999999999,50.352000000000004,93.55019999999999,53.65690000000001,
4899,2015-09-10 16:18:47.663689,1441912727.66074,151.8338,54.4023,99.10159999999999,50.554,92.80579999999999,53.202000000000005,
4900,2015-09-10 16:19:08.561368,1441912748.558168,148.6938,53.708299999999994,98.4198,49.94800000000001,92.43359999999998,53.202000000000005,
4901,2015-09-10 16:19:18.953784,1441912758.950703,147.90879999999999,54.055299999999995,97.738,50.150000000000006,91.68919999999999,53.202000000000005,
4902,2015-09-10 16:19:29.587317,1441912769.584088,145.9463,53.0143,97.3971,49.544000000000004,91.68919999999999,53.202000000000005,
4903,2015-09-10 16:19:50.527992,1441912790.524966,143.1988,51.973299999999995,96.03349999999999,49.342000000000006,90.94479999999999,53.202000000000005,
4904,2015-09-10 16:20:11.557866,1441912811.55474,142.0213,52.6673,96.03349999999999,49.14000000000001,90.20039999999999,52.29220000000001,
4905,2015-09-10 16:20:32.498391,1441912832.495389,139.66629999999998,52.6673,95.6926,48.13,89.45599999999999,51.837300000000006,
4906,2015-09-10 16:20:42.891936,1441912842.888729,138.09629999999999,51.973299999999995,95.6926,47.928000000000004,88.71159999999999,52.29220000000001,
4907,2015-09-10 16:21:03.762680,1441912863.759666,137.31130000000002,51.2793,93.98809999999999,48.13,88.33939999999998,51.837300000000006,
4908,2015-09-10 16:21:14.330382,1441912874.327066,135.74130000000002,50.9323,93.3063,48.13,87.96719999999999,51.837300000000006,
4909,2015-09-10 16:21:35.314579,1441912895.310707,134.56380000000001,51.6263,91.26089999999999,48.938,87.22279999999999,52.7471,
4910,2015-09-10 16:21:56.233939,1441912916.229356,131.8163,50.238299999999995,90.5791,48.534000000000006,86.4784,51.837300000000006,
4911,2015-09-10 16:22:06.626765,1441912926.623678,131.0313,49.8913,90.91999999999999,47.726000000000006,86.10619999999999,51.837300000000006,
4912,2015-09-10 16:22:17.234341,1441912937.231028,131.0313,50.238299999999995,90.23819999999999,48.13,85.734,51.837300000000006,
4913,2015-09-10 16:22:38.158149,1441912958.154693,127.4988,49.1973,88.87459999999999,47.726000000000006,85.36179999999999,51.382400000000004,
4914,2015-09-10 16:22:59.074627,1441912979.062341,127.10630000000002,49.8913,88.87459999999999,47.322,84.24519999999998,50.92750000000001,
4915,2015-09-10 16:23:20.006703,1441913000.003169,125.5363,49.1973,87.8519,47.322,83.50079999999998,50.92750000000001,
4916,2015-09-10 16:23:40.959948,1441913020.956528,122.7888,49.1973,86.8292,47.322,83.12859999999999,50.47260000000001,
4917,2015-09-10 16:24:02.130050,1441913042.126766,120.82630000000002,48.156299999999995,86.14739999999999,46.514,82.38419999999999,50.47260000000001,
4918,2015-09-10 16:24:12.537194,1441913052.533485,120.4338,47.8093,86.4883,46.11000000000001,82.38419999999999,50.017700000000005,
4919,2015-09-10 16:24:23.055541,1441913063.051539,120.04129999999999,47.8093,86.4883,46.312000000000005,82.01199999999999,50.017700000000005,
4920,2015-09-10 16:24:43.983136,1441913083.979534,118.8638,48.156299999999995,84.7838,46.514,81.26759999999999,50.017700000000005,
4921,2015-09-10 16:25:04.956637,1441913104.953323,117.2938,48.156299999999995,84.4429,46.11000000000001,80.52319999999999,49.5628,
4922,2015-09-10 16:25:15.164946,1441913115.161383,115.72380000000001,48.156299999999995,84.4429,45.908,80.52319999999999,50.017700000000005,
4923,2015-09-10 16:25:25.860771,1441913125.856793,115.72380000000001,47.4623,83.7611,45.706,80.52319999999999,50.017700000000005,
4924,2015-09-10 16:25:46.825669,1441913146.821842,114.1538,46.768299999999996,82.7384,45.908,79.40659999999998,50.017700000000005,
4925,2015-09-10 16:26:07.805999,1441913167.802185,112.97630000000001,46.0743,82.7384,45.706,79.03439999999999,49.5628,
4926,2015-09-10 16:26:28.756798,1441913188.753211,111.4063,46.0743,81.7157,45.706,78.66219999999998,49.10790000000001,
4927,2015-09-10 16:26:49.679844,1441913209.675783,111.4063,46.768299999999996,81.03389999999999,45.908,77.91779999999999,49.10790000000001,
4928,2015-09-10 16:27:10.698394,1441913230.695032,109.83630000000001,46.768299999999996,80.3521,45.504000000000005,77.5456,49.10790000000001,
4929,2015-09-10 16:27:31.601273,1441913251.597822,108.2663,45.3803,79.6703,44.898,76.8012,49.10790000000001,
4930,2015-09-10 16:27:41.997938,1441913261.99455,107.4813,46.0743,79.6703,45.1,76.8012,49.5628,
4931,2015-09-10 16:27:52.520535,1441913272.516798,107.8738,46.0743,79.6703,44.696000000000005,76.42899999999999,48.653000000000006,
4932,2015-09-10 16:28:02.512567,1441913282.508915,105.9113,45.3803,78.6476,44.898,76.42899999999999,48.653000000000006,
4933,2015-09-10 16:28:13.445723,1441913293.441769,105.9113,44.686299999999996,78.6476,44.696000000000005,76.0568,48.198100000000004,
4934,2015-09-10 16:28:34.462477,1441913314.459018,104.7338,44.686299999999996,78.30669999999999,44.292,75.3124,48.198100000000004,
