Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3433	2015-09-10 11:39:28.741005	1441895968.74	296.2738	104.0233	242.2796	156.402	290.8162	119.1625	None	
3434	2015-09-10 11:39:49.634693	1441895989.63	299.0213	101.9413	242.6205	156.806	290.8162	112.7939	None	
3435	2015-09-10 11:40:10.475803	1441896010.47	300.5913	104.0233	242.6205	151.958	290.444	115.0684	None	
3436	2015-09-10 11:40:31.435322	1441896031.43	301.7688	104.0233	241.9387	157.008	290.8162	115.5233	None	
3437	2015-09-10 11:40:41.401714	1441896041.4	302.1613	102.2883	242.2796	157.614	291.1884	116.4331	None	
3438	2015-09-10 11:40:52.276517	1441896052.27	303.3388	103.6763	242.2796	158.22	290.444	122.8017	None	
3439	2015-09-10 11:41:13.222337	1441896073.22	302.9463	106.1053	241.9387	155.594	290.8162	119.1625	None	
3440	2015-09-10 11:41:23.193814	1441896083.19	301.3763	110.9633	242.9614	147.716	289.3274	117.3429	None	
3441	2015-09-10 11:41:34.152623	1441896094.15	303.3388	107.4933	241.5978	156.402	290.444	117.3429	None	
3442	2015-09-10 11:41:55.054706	1441896115.05	303.7313	109.9223	242.2796	151.756	290.0718	111.4292	None	
3443	2015-09-10 11:42:15.948705	1441896135.95	303.3388	106.7993	241.5978	155.998	286.722	117.7978	None	
3444	2015-09-10 11:42:36.813583	1441896156.81	302.5538	110.9633	241.9387	151.352	288.9552	113.7037	None	
3445	2015-09-10 11:42:57.785541	1441896177.78	303.7313	106.4523	241.5978	159.028	290.444	116.888	None	
3446	2015-09-10 11:43:08.179814	1441896188.18	302.1613	107.1463	241.5978	157.816	288.2108	118.7076	None	
3447	2015-09-10 11:43:18.752097	1441896198.75	302.1613	106.1053	241.5978	159.23	289.3274	115.9782	None	
3448	2015-09-10 11:43:29.144780	1441896209.14	303.7313	108.8813	242.2796	153.17	285.6054	118.2527	None	
3449	2015-09-10 11:43:39.618238	1441896219.62	302.9463	108.5343	241.9387	154.988	286.3498	118.2527	None	
3450	2015-09-10 11:43:50.009633	1441896230.01	301.3763	110.9633	242.6205	150.948	284.4888	113.2488	None	
3451	2015-09-10 11:44:00.393290	1441896240.39	302.5538	105.4113	241.9387	160.644	287.0942	115.5233	None	
3452	2015-09-10 11:44:21.235842	1441896261.23	302.9463	106.1053	241.5978	160.038	286.3498	121.437	None	
3453	2015-09-10 11:44:34.818267	1441896274.82	302.5538	110.2693	242.6205	151.756	284.861	116.888	None	
3454	2015-09-10 11:44:45.033359	1441896285.03	302.9463	110.9633	242.2796	152.766	283.7444	119.6174	None	
3455	2015-09-10 11:44:54.951359	1441896294.95	303.7313	112.3513	241.5978	154.584	282.6278	113.7037	None	
3456	2015-09-10 11:45:05.000337	1441896305.0	303.7313	108.8813	241.2569	160.24	284.861	113.7037	None	
3457	2015-09-10 11:45:14.819018	1441896314.82	302.5538	109.2283	241.2569	160.644	284.4888	114.1586	None	
3458	2015-09-10 11:45:24.908663	1441896324.91	303.3388	111.3103	241.5978	155.19	283.0	111.4292	None	
